c1,op21,c2,op23,c3,count
http://erlangen-crm.org/current/E55_Type,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E30_Right,30614
http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P138_represents,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,30614
http://erlangen-crm.org/current/E30_Right,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E38_Image,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,30614
http://erlangen-crm.org/current/E39_Actor,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E39_Actor,23534
http://erlangen-crm.org/current/E39_Actor,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E21_Person,21606
http://erlangen-crm.org/current/E21_Person,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E39_Actor,21606
http://erlangen-crm.org/current/E21_Person,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P14_carried_out_by,http://erlangen-crm.org/current/E21_Person,19948
http://erlangen-crm.org/current/E54_Dimension,http://erlangen-crm.org/current/P43_has_dimension,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E30_Right,19512
http://erlangen-crm.org/current/E30_Right,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P43_has_dimension,http://erlangen-crm.org/current/E54_Dimension,19512
http://erlangen-crm.org/current/E55_Type,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E82_Actor_Appellation,http://erlangen-crm.org/current/P2_has_type,http://erlangen-crm.org/current/E55_Type,15834
http://erlangen-crm.org/current/E12_Production,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E30_Right,13540
http://erlangen-crm.org/current/E30_Right,http://erlangen-crm.org/current/P104_is_subject_to,http://erlangen-crm.org/current/E22_Man-Made_Object,http://erlangen-crm.org/current/P108i_was_produced_by,http://erlangen-crm.org/current/E12_Production,13540
